date,ticker,asset_class,adjusted_close,volume
2018-01-02,AGG,US aggregate bonds,84.979607,8850900
2018-01-02,EEM,Emerging-market equities,39.776554,68969400
2018-01-02,EFA,Developed international equities,54.737129,26530000
2018-01-02,EWC,Canadian equities,25.079796,2506200
2018-01-02,GLD,Gold,125.150002,11762500
2018-01-02,SPY,US equities,235.954254,86655700
2018-01-03,AGG,US aggregate bonds,84.987419,2441700
2018-01-03,EEM,Emerging-market equities,40.157669,56228700
2018-01-03,EFA,Developed international equities,54.999874,33384900
2018-01-03,EWC,Canadian equities,25.172033,2781500
2018-01-03,GLD,Gold,124.820000,7904300
2018-01-03,SPY,US equities,237.446671,90070400
2018-01-04,AGG,US aggregate bonds,84.932930,2945400
2018-01-04,EEM,Emerging-market equities,40.356510,52154900
2018-01-04,EFA,Developed international equities,55.602657,23974400
2018-01-04,EWC,Canadian equities,25.348120,1542800
2018-01-04,GLD,Gold,125.459999,7329700
2018-01-04,SPY,US equities,238.447556,80636400
2018-01-05,AGG,US aggregate bonds,84.878426,4322900
2018-01-05,EEM,Emerging-market equities,40.704472,50026900
2018-01-05,EFA,Developed international equities,55.911770,17483800
2018-01-05,EWC,Canadian equities,25.440353,1546900
2018-01-05,GLD,Gold,125.330002,5739900
2018-01-05,SPY,US equities,240.036560,83524000
2018-01-08,AGG,US aggregate bonds,84.855110,3394500
2018-01-08,EEM,Emerging-market equities,40.704472,36998200
2018-01-08,EFA,Developed international equities,55.896339,21733700
2018-01-08,EWC,Canadian equities,25.356501,2498400
2018-01-08,GLD,Gold,125.309998,3566700
2018-01-08,SPY,US equities,240.475571,57319200
2018-01-09,AGG,US aggregate bonds,84.621559,2301300
2018-01-09,EEM,Emerging-market equities,40.638203,42131600
2018-01-09,EFA,Developed international equities,55.958149,19138900
2018-01-09,EWC,Canadian equities,25.289421,2465100
2018-01-09,GLD,Gold,124.730003,9153600
2018-01-09,SPY,US equities,241.019836,57254000
2018-01-10,AGG,US aggregate bonds,84.621559,4194300
2018-01-10,EEM,Emerging-market equities,40.381371,72183900
2018-01-10,EFA,Developed international equities,55.849964,18118900
2018-01-10,EWC,Canadian equities,25.037868,4996900
2018-01-10,GLD,Gold,125.029999,14809300
2018-01-10,SPY,US equities,240.651123,69574300
2018-01-11,AGG,US aggregate bonds,84.660522,3470400
2018-01-11,EEM,Emerging-market equities,40.629917,38720900
2018-01-11,EFA,Developed international equities,56.236351,17314400
2018-01-11,EWC,Canadian equities,25.163647,1654400
2018-01-11,GLD,Gold,125.440002,5994700
2018-01-11,SPY,US equities,242.406845,62361500
2018-01-12,AGG,US aggregate bonds,84.644936,3605900
2018-01-12,EEM,Emerging-market equities,41.019314,69358300
2018-01-12,EFA,Developed international equities,56.800488,22694300
2018-01-12,EWC,Canadian equities,25.247498,1762800
2018-01-12,GLD,Gold,126.959999,9258600
2018-01-12,SPY,US equities,243.987091,90816100
2018-01-16,AGG,US aggregate bonds,84.668297,6794400
2018-01-16,EEM,Emerging-market equities,40.861900,80418000
2018-01-16,EFA,Developed international equities,56.746410,24617800
2018-01-16,EWC,Canadian equities,25.348120,6620600
2018-01-16,GLD,Gold,127.169998,8083900
2018-01-16,SPY,US equities,243.153107,106555100
2018-01-17,AGG,US aggregate bonds,84.574883,3146300
2018-01-17,EEM,Emerging-market equities,41.400425,65863500
2018-01-17,EFA,Developed international equities,57.040058,21424400
2018-01-17,EWC,Canadian equities,25.406813,5869200
2018-01-17,GLD,Gold,126.139999,10130500
2018-01-17,SPY,US equities,245.470795,113258800
2018-01-18,AGG,US aggregate bonds,84.388077,2896500
2018-01-18,EEM,Emerging-market equities,41.450134,33947000
2018-01-18,EFA,Developed international equities,56.970512,19094600
