ticker,asset_class,month,monthly_return,rolling_12m_average_return,absolute_move_rank
EWC,Canadian equities,2018-02,-0.06994645063321214,-0.06994645063321214,1
EEM,Emerging-market equities,2018-02,-0.058984908338476694,-0.058984908338476694,2
EFA,Developed international equities,2018-02,-0.04834777368438614,-0.04834777368438614,3
SPY,US equities,2018-02,-0.03636054801114541,-0.03636054801114541,4
GLD,Gold,2018-02,-0.020759905667686596,-0.020759905667686596,5
AGG,US aggregate bonds,2018-02,-0.010087154792401187,-0.010087154792401187,6
SPY,US equities,2018-03,-0.02741042932185167,-0.03188548866649854,1
EFA,Developed international equities,2018-03,-0.008396230822467654,-0.028372002253426898,2
EWC,Canadian equities,2018-03,-0.008276230245657601,-0.03911134043943487,3
AGG,US aggregate bonds,2018-03,0.006711836261937831,-0.001687659265231678,4
GLD,Gold,2018-03,0.006320008000000099,-0.007219948833843248,5
EEM,Emerging-market equities,2018-03,0.005414348373826705,-0.026785279982324994,6
EEM,Emerging-market equities,2018-04,-0.028168972535473125,-0.02724651083337437,1
EWC,Canadian equities,2018-04,0.020682191988411924,-0.01918016296348594,2
EFA,Developed international equities,2018-04,0.015212351189909601,-0.013843884438981399,3
GLD,Gold,2018-04,-0.009539748711823282,-0.007993215459836592,4
AGG,US aggregate bonds,2018-04,-0.009410985143494588,-0.004262101224652648,5
SPY,US equities,2018-04,0.005168218050543905,-0.01953425309415106,6
EEM,Emerging-market equities,2018-05,-0.026214834450401403,-0.02698859173763113,1
SPY,US equities,2018-05,0.0243090748180137,-0.00857342111610987,2
EWC,Canadian equities,2018-05,0.021684849087125535,-0.008963909950833071,3
EFA,Developed international equities,2018-05,-0.018942654417309357,-0.015118576933563388,4
GLD,Gold,2018-05,-0.011959210593441183,-0.00898471424323774,5
AGG,US aggregate bonds,2018-05,0.006619121181997922,-0.0015417956229900054,6
EEM,Emerging-market equities,2018-06,-0.04545682692199993,-0.030682238774504888,1
GLD,Gold,2018-06,-0.03614944006741572,-0.014417659408073335,2
EFA,Developed international equities,2018-06,-0.01584088925074556,-0.015263039396999823,3
SPY,US equities,2018-06,0.005751089180069169,-0.0057085190568740615,4
AGG,US aggregate bonds,2018-06,0.0010259076727823224,-0.0010282549638355397,5
EWC,Canadian equities,2018-06,-0.0002320868420578881,-0.0072175453290780345,6
SPY,US equities,2018-07,0.03704623024354392,0.001417272493195602,1
EEM,Emerging-market equities,2018-07,0.03531037883158428,-0.019683469173490026,2
EFA,Developed international equities,2018-07,0.02852014366593969,-0.007965842219843236,3
EWC,Canadian equities,2018-07,0.02455283442655576,-0.0019224820364724022,4
GLD,Gold,2018-07,-0.022418912390747336,-0.015751201571852336,5
AGG,US aggregate bonds,2018-07,-0.00029203099107810715,-0.0009055509683759677,6
EEM,Emerging-market equities,2018-08,-0.03767270711648807,-0.022253360308204035,1
SPY,US equities,2018-08,0.031920259760091385,0.005774842102752142,2
EFA,Developed international equities,2018-08,-0.02235772593593799,-0.010021825607856773,3
GLD,Gold,2018-08,-0.0213811194306599,-0.01655547555168199,4
EWC,Canadian equities,2018-08,-0.01403642742265443,-0.003653045663069835,5
AGG,US aggregate bonds,2018-08,0.005680086931248107,3.5254445856042995e-05,6
EFA,Developed international equities,2018-09,0.009652662895069053,-0.007562514544991045,1
GLD,Gold,2018-09,-0.006607347253857032,-0.015311959514453868,2
AGG,US aggregate bonds,2018-09,-0.00619740130941604,-0.0007438275235529673,3
SPY,US equities,2018-09,0.0059455049908150315,0.0057961749637600035,4
EEM,Emerging-market equities,2018-09,-0.005791319928391658,-0.020195605260727487,5
EWC,Canadian equities,2018-09,-0.0006942579807105442,-0.0032831972027749234,6
EEM,Emerging-market equities,2018-10,-0.08760495116097511,-0.02768553258297722,1
